,AAPL,ABBV,ABT,ADBE,AIG,AMGN,AMT,AMZN,AVGO,AXP,BA,BAC,BK,BKNG,BLK,BMY,C,CAT,CHTR,CL,CMCSA,COF,COP,COST,CRM,CSCO,CVS,CVX,DD,DHR,DIS,DUK,EMR,EXC,F,FDX,GD,GE,GILD,GM,GOOGL,GS,HD,HON,IBM,INTC,JNJ,JPM,KHC,KO,LLY,LMT,LOW,MA,MCD,MDLZ,MDT,MET,MMM,MO,MRK,MS,MSFT,NEE,NFLX,NKE,NVDA,ORCL,PEP,PFE,PG,PM,PYPL,QCOM,RTX,SBUX,SCHW,SO,T,TGT,TMO,TMUS,TSLA,TXN,UNH,UNP,UPS,USB,V,VZ,WBA,WFC,WMT,XOM
2016-01-31,1.7295468632440854,-0.9965076792877389,0.025762774161695225,-1.2362995140474833,-0.13830532330549783,0.8461032614976615,0.3791402148602655,-0.9334045648772801,0.5305876894453669,-0.9207839419951886,0.013142151279603715,0.8208620157334785,1.1652247258019797,0.7589608654070281,-1.1731963996370236,0.6567939182662843,1.161618833549956,0.5936908038558256,-0.2645115521264152,0.9470682445543959,-1.85471003526998,-1.1479551538728405,0.10148651145424656,-2.2207080988506416,-1.8420894123878884,0.17721024874679675,1.161618833549956,0.7325176555588356,-0.17616719195177236,-0.9838870564056473,0.5432083123274585,0.8839651301439372,-2.359534950553652,-0.6178889928249856,-0.6431302385891686,-0.21402906059804802,0.41700208350654117,-0.5421652555324342,0.3791402148602655,0.69465578691256,-1.6654006920386037,-0.6683714843533527,1.7043056174799023,-0.25189092924432366,0.4927258207990914,0.1898308716288894,0.9188879496258876,-0.07520220889503801,-0.8523213849909642,1.3509281767813333,-1.1479551538728405,0.83348263861557,-0.5295446326503427,-0.7945777131742701,0.17721024874679675,0.7198970326767441,-0.2071778653191972,1.2247219479604148,0.4927258207990914,0.6567939182662843,0.6820351640304685,1.022791981846946,1.0858950962574059,-0.3780971580652411,-2.42263806496411,0.16458962586470524,-0.71885397588172,-1.9682956412088057,1.0606538504932217,1.439272536955975,0.9849301132006716,-0.5421652555324342,-0.7440952216459029,0.08886588857215504,-0.5295446326503427,-0.0625815860129465,-1.7032625606848784,1.3383075538992406,0.8208620157334785,0.6315526725021012,0.83348263861557,-1.2867820055758494,-2.1449843615580915,0.48010519791699985,0.41700208350654117,-0.02471971736667083,-1.160575776754932,0.6315526725021012,-0.2771321750085067,1.439272536955975,1.022791981846946,0.669414541148377,0.9092063759081203,-0.7819570902921786
2016-02-29,1.7202898335087768,-1.0074381596710351,0.01545983777139417,-1.2473771961081488,-0.14870897663294627,0.8363039097930974,0.3690542072576665,-0.9442963079770582,0.5205946513232117,-0.931667937638263,0.002831467432599008,0.8110471691155071,1.1556212740740652,0.7491080193585579,-1.1842353444141707,0.6468783547111656,1.1520131682629833,0.5837365030171887,-0.2749926800209001,0.937330872503461,-1.8661673427091239,-1.1589786037365803,0.09123005980416737,-2.2323900825341916,-1.8535389723703288,0.16700028183693946,1.1520131682629833,0.7226485767439388,-0.18659408764933175,-0.99480978933224,0.5332230216620069,0.8741890208094841,-2.3713021562609415,-0.6285870495071725,-0.6538437901847628,-0.22447919866571836,0.4069393182740531,-0.5528168274743993,0.3690542072576665,0.6847634657275522,-1.676741787627193,-0.6791005308623542,1.6950330928311865,-0.26236430968210495,0.4827095403068252,0.17962865217573576,1.18989827927937,-0.08556712493896824,-0.1739657173105366,1.3414387233449152,-1.1589786037365803,0.8236755394543023,-0.5401884571356041,-0.8053842342503081,0.16700028183693946,0.7100202064051436,-0.21762379762465697,1.2151550199569603,0.4827095403068252,0.6468783547111656,0.672135095388757,1.013101094536233,1.0762429462302112,-0.3886480130700588,-2.4344440079549186,0.1543719114981443,-0.7296140122175361,-1.9798226757582826,1.0509862055526198,1.4298373157164825,0.9752159835198476,-0.5528168274743993,-0.7548707528951264,0.0786016894653722,-0.5401884571356041,-0.07293875460017307,-1.7146268986435786,1.3288103530061188,0.8110471691155071,0.6216216140335753,0.8236755394543023,-1.2978906774633294,-2.1566198605014195,0.47008116996803,0.4069393182740531,-0.03505364358378648,-1.1716069740753754,0.6216216140335753,-0.28762105035969526,1.4298373157164825,1.013101094536233,0.6595067250499619,0.8994457614870744,-0.792755863911513
2016-03-31,1.6951978592181411,-1.0130475567120867,0.0025444742617487096,-1.2512728479281723,-0.16045177762294086,0.8175257336851977,0.3536133244749268,-0.9503566906025908,0.5040714031377175,-0.9378185173806918,-0.009993698960150229,0.7924493872413997,1.1345623994389322,0.7309526328673225,-1.1885819818186754,0.6294531353567091,1.1309800642326777,0.5667622692472133,-0.2858335098419325,0.9178311194603913,-1.8656433358012323,-1.1635056353748774,0.07777351359314458,-2.2292503592363095,-1.8531051625793336,0.15300255292453935,1.1309800642326777,0.704682174688105,-0.19806629728863767,-1.000509383490188,0.5166095763596165,0.8551402533508955,-2.3671702646772013,-0.6369023600551106,-0.6619787064989086,-0.2356808169543356,0.3912278441406248,-0.5616733207237149,0.3536133244749268,0.667067655022407,-1.677570737472745,-0.6870550529427076,1.6701215127743432,-0.2732953366200336,0.4664568834720195,0.1655407261464394,1.1685945838983758,-0.09776091151344392,-0.18552812406673874,1.3190526625611663,-1.1635056353748774,0.8049875604632987,-0.5491351475018159,-0.8124367851616993,0.15300255292453935,0.692144001466206,-0.22887438006244645,1.1936709303421735,0.4664568834720195,0.6294531353567091,0.654529481800508,0.9930601587917861,1.055751024901283,-0.39867706883902515,-2.4298611307866973,0.1404643797026404,-0.3861388956171262,-1.9784868947983252,1.030674678457484,1.40681987511446,0.9554456391260892,-0.5616733207237149,-0.7622840922741022,0.06523534037124565,-0.5491351475018159,-0.08522273829154499,-1.7151852571384418,1.3065144893392662,0.7924493872413997,0.9178311194603913,0.8049875604632987,-1.301425540815768,-2.1540213199049147,0.4539187102501206,0.3912278441406248,-0.04760821862584705,-1.1760438085967764,0.6043767889129111,-0.29837168306383144,1.40681987511446,0.9930601587917861,0.6419913085786092,1.4193580483363601,-0.7998986119398003
2016-04-30,1.6951978592181411,-1.0130475567120867,0.0025444742617487096,-1.2512728479281723,-0.16045177762294086,0.8175257336851977,0.3536133244749268,-0.9503566906025908,0.5040714031377175,-0.9378185173806918,-0.009993698960150229,0.7924493872413997,1.1345623994389322,0.7309526328673225,-1.1885819818186754,0.6294531353567091,1.1309800642326777,0.5667622692472133,-0.2858335098419325,0.9178311194603913,-1.8656433358012323,-1.1635056353748774,0.07777351359314458,-2.2292503592363095,-1.8531051625793336,0.15300255292453935,1.1309800642326777,0.704682174688105,-0.19806629728863767,-1.000509383490188,0.5166095763596165,0.8551402533508955,-2.3671702646772013,-0.6369023600551106,-0.6619787064989086,-0.2356808169543356,0.3912278441406248,-0.5616733207237149,0.3536133244749268,0.667067655022407,-1.677570737472745,-0.6870550529427076,1.6701215127743432,-0.2732953366200336,0.4664568834720195,0.1655407261464394,1.1685945838983758,-0.09776091151344392,-0.18552812406673874,1.3190526625611663,-1.1635056353748774,0.8049875604632987,-0.5491351475018159,-0.8124367851616993,0.15300255292453935,0.692144001466206,-0.22887438006244645,1.1936709303421735,0.4664568834720195,0.6294531353567091,0.654529481800508,0.9930601587917861,1.055751024901283,-0.39867706883902515,-2.4298611307866973,0.1404643797026404,-0.3861388956171262,-1.9784868947983252,1.030674678457484,1.40681987511446,0.9554456391260892,-0.5616733207237149,-0.7622840922741022,0.06523534037124565,-0.5491351475018159,-0.08522273829154499,-1.7151852571384418,1.3065144893392662,0.7924493872413997,0.9178311194603913,0.8049875604632987,-1.301425540815768,-2.1540213199049147,0.4539187102501206,0.3912278441406248,-0.04760821862584705,-1.1760438085967764,0.6043767889129111,-0.29837168306383144,1.40681987511446,0.9930601587917861,0.6419913085786092,1.4193580483363601,-0.7998986119398003
2016-05-31,1.6852195931054472,-1.0244518413416197,-0.008325053423969601,-1.2628025693716862,-0.17140713049717263,0.8070853319420467,0.3429286510413913,-0.9617279655442339,0.49346595295511747,-0.9491831903847571,-0.020869828583446492,0.7819957816230929,1.1242889324031096,0.7204666463170855,-1.2000786935742995,0.6189137045498887,1.1207047109289756,0.5561898287525031,-0.29685488209194383,0.9074435332178641,-1.8774965521860665,-1.1749891432553456,0.06694359753289403,-2.241295031810904,-1.8649517770265898,0.1422122484897565,1.1207047109289756,0.6941823555067522,-0.20904145597560336,-1.0119070661821428,0.5060107281145944,0.8447196574204785,-2.3792875585651534,-0.6481085865573047,-0.6731981368762585,-0.24667578145403515,0.3805629765198232,-0.5728399356004411,0.3429286510413913,0.6565480300283204,-1.6893249247939097,-0.6982876871952135,1.6601300427864936,-0.28431010693246694,0.45583162747668565,0.1547570236492345,1.1583390364074073,-0.10868325469978589,-0.19649668081612645,1.3088763383211335,-1.1749891432553456,0.7945405567825697,-0.5602951604409643,-0.8237354387899848,0.1422122484897565,0.6816375803472754,0.6565480300283204,1.1834285867263612,0.45583162747668565,0.6189137045498887,0.6440032548688436,0.9827121841747265,1.045436059972113,-0.4097578585272382,-2.442011434362539,0.1296674733302796,-0.3972130833677613,-1.8649517770265898,1.0203465096531583,1.396689764437473,0.9450778586962958,-0.5728399356004411,-0.773556338152076,0.054398822373417116,-0.5602951604409643,-0.096138479540309,-1.7269592502723405,1.2963315631616554,0.7819957816230929,0.9074435332178641,0.7945405567825697,-1.3129816700095938,-2.1660263808540416,0.44328685231720877,0.3805629765198232,-0.0585041540618772,-1.1875339184148226,0.5938241542309348,-0.3093996572514207,1.396689764437473,0.9827121841747265,0.6314584797093666,1.409234539596951,-0.8111906636305078
2016-06-30,1.6613302701497907,-1.0177794445945523,-0.013113301565423776,-1.2534418732063237,-0.17435601587874067,0.7931002700011617,0.33417869849402854,-0.9557630160125075,0.48301812709093667,-0.9433597302960988,-0.025516587281832516,0.7682936985683442,1.1067262088303582,0.7074585352926236,-1.1914254446242778,0.6070509842550262,1.1031824129113865,0.5450345556729814,-0.2983888730428302,0.8923265557324337,-1.8612028733103638,-1.1666188731914604,0.06130641273303085,-2.220898159086225,-1.8487995875939551,0.13572612703148432,1.1031824129113865,0.6814706985534809,-0.21156587302796687,-1.0053761588781436,0.49542141280734536,0.830310127150389,-2.3573343019667243,-0.6456808731022825,-0.6704874445351,0.09851626988225813,0.37138855564325585,-0.5712611588038279,0.33417869849402854,0.6442608414042535,-1.6751535875642296,-0.6952940159679185,1.6365236987169733,-0.28598558732642143,0.44580826994170936,0.14812941274789415,1.140392270060614,-0.11233958729669477,-0.19916258731155814,1.289231698657522,-1.1666188731914604,0.7806969842847529,-0.5588578730874192,-0.8193268731320081,0.13572612703148432,0.669067412837072,0.6442608414042535,1.1651988414934313,0.44580826994170936,0.6070509842550262,0.6318575556878447,0.9667462700308872,1.7729598415974737,-0.410018444490511,-2.419350730548769,-0.4472283016397383,-0.39761515877410225,-1.8487995875939551,1.0039561271801145,1.3760546986723843,0.8675199842996163,-0.5712611588038279,-0.769713730266372,0.04890312701662211,-0.5588578730874192,-0.09993630158028603,-1.7123634447134557,1.2768284129411123,0.7682936985683442,0.8923265557324337,0.7806969842847529,-1.3030550160719587,-2.1464784447877716,0.4334049842253006,0.37138855564325585,-0.06272644443105872,-1.179022158907869,0.5822444128222087,-0.31079215875923893,1.3760546986723843,0.9667462700308872,0.619454269971436,1.388457984388794,-0.8069235874155993
2016-07-31,1.6613302701497907,-1.0177794445945523,-0.013113301565423776,-1.2534418732063237,-0.17435601587874067,0.7931002700011617,0.33417869849402854,-0.9557630160125075,0.48301812709093667,-0.9433597302960988,-0.025516587281832516,0.7682936985683442,1.1067262088303582,0.7074585352926236,-1.1914254446242778,0.6070509842550262,1.1031824129113865,0.5450345556729814,-0.2983888730428302,0.8923265557324337,-1.8612028733103638,-1.1666188731914604,0.06130641273303085,-2.220898159086225,-1.8487995875939551,0.13572612703148432,1.1031824129113865,0.6814706985534809,-0.21156587302796687,-1.0053761588781436,0.49542141280734536,0.830310127150389,-2.3573343019667243,-0.6456808731022825,-0.6704874445351,0.09851626988225813,0.37138855564325585,-0.5712611588038279,0.33417869849402854,0.6442608414042535,-1.6751535875642296,-0.6952940159679185,1.6365236987169733,-0.28598558732642143,0.44580826994170936,0.14812941274789415,1.140392270060614,-0.11233958729669477,-0.19916258731155814,1.289231698657522,-1.1666188731914604,0.7806969842847529,-0.5588578730874192,-0.8193268731320081,0.13572612703148432,0.669067412837072,0.6442608414042535,1.1651988414934313,0.44580826994170936,0.6070509842550262,0.6318575556878447,0.9667462700308872,1.7729598415974737,-0.410018444490511,-2.419350730548769,-0.4472283016397383,-0.39761515877410225,-1.8487995875939551,1.0039561271801145,1.3760546986723843,0.8675199842996163,-0.5712611588038279,-0.769713730266372,0.04890312701662211,-0.5588578730874192,-0.09993630158028603,-1.7123634447134557,1.2768284129411123,0.7682936985683442,0.8923265557324337,0.7806969842847529,-1.3030550160719587,-2.1464784447877716,0.4334049842253006,0.37138855564325585,-0.06272644443105872,-1.179022158907869,0.5822444128222087,-0.31079215875923893,1.3760546986723843,0.9667462700308872,0.619454269971436,1.388457984388794,-0.8069235874155993
2016-08-31,1.651470111558611,-1.0151275021030997,-0.015153396979958229,-1.2496893292307507,-0.1756430681725611,0.7872949589830571,0.3305166640502639,-0.9534007054905603,0.4786609759203591,-0.9410553461680526,-0.027498756302465895,0.7626042403380419,1.0994561875664695,0.7020531922324075,-1.1879625326182102,0.6021145691454379,1.0959289420457552,0.5403877725328985,-0.29909666139763996,0.8860578335631206,-1.8546119360336382,-1.163271813973195,0.05891875895508993,-2.2373180750313844,-1.8422665767111306,0.009537321665058189,1.0959289420457552,0.676186725080486,-0.21267914614008407,-1.002782142780592,0.4910063352428668,0.8243310369505813,-2.3484263089339557,-0.6447667224278621,-0.6694574410728775,0.095954836922614,0.367552742017788,-0.570694566492814,0.3305166640502639,0.639150647112962,-1.6694315461960199,-0.6941481597178939,1.6267793929135956,-0.2867513020751323,0.44162489795283505,0.14533627421264575,1.1329650200132793,-0.11391627156002063,-0.2003337868175764,1.2811093318833746,-1.163271813973195,0.7749495996605495,-0.5583492071703063,-0.8176017529429728,0.132990914890137,0.6638413657579784,0.639150647112962,1.1576557386582946,0.44162489795283505,0.6021145691454379,0.6268052877904543,0.9601299894981677,1.7625783454611843,-0.4102048953002111,-2.410153105546495,-0.44724097326773515,-0.3978595359777034,-1.8422665767111306,0.9971660674656918,1.3675268471409292,0.8613671149181054,-0.570694566492814,-0.768220315652941,0.04657339963258227,-0.5583492071703063,-0.10157091223751297,-1.706467624163543,1.2687639725608657,0.7626042403380419,0.8860578335631206,0.7749495996605495,-1.2990707665207815,-2.138555200451321,0.42927953863032736,0.367552742017788,-0.06453483426998888,-1.1756171732957026,0.5774238505004226,-0.3114420207201476,1.3675268471409292,1.30580005052839,0.6144599284679466,1.3798722064634381,-0.8052563936204651
2016-09-30,1.633223919192322,-1.0338852359868311,-0.019632458665181853,-1.2717963812845026,-0.18241376860569342,0.794274091037377,0.33097343966822823,-0.9712770398558653,0.48123311038254685,-0.9587554006296725,-0.0321540978913748,0.7692308125849912,1.1108926828996886,0.7078151535231861,-1.2091881851535355,0.6064495026444785,1.1073150716922073,0.5438413065135127,-0.30763016086762507,0.8944472048469227,-1.8853567033679688,-1.1841449067011496,0.05549737669197801,-2.2735275193799587,-1.872835064141776,0.005410819787205139,1.1073150716922073,0.6815793380016384,-0.21997868628427222,-1.021363596760638,0.4937547496087398,0.831839008715957,-1.7476186718798443,-0.6582360592010351,-0.6832793376534211,0.09306229437055795,0.3685383573468082,-0.5831062238438753,0.33097343966822823,0.6440144203230584,-1.6975321149750713,-0.708322616105808,1.6457455584185148,-0.29510852164143214,0.4436681927039669,0.1431488512753308,1.1448799893707873,-0.11980557247472648,-0.2074570470580793,1.295139660085106,-1.1841449067011496,0.7817524518111841,-0.5705845846176824,-0.8335390083677396,0.13062721204913677,0.6690576987754454,0.6440144203230584,1.169923267823173,0.4436681927039669,0.6064495026444785,0.6314927810968655,0.9695770402040815,1.7834835899066417,-0.42032491390336374,-2.4488304685466633,-0.4578898315819437,-0.4078032746771708,-1.872835064141776,1.0071419578826615,1.3827911346684576,0.8694039263945369,-0.5831062238438753,-0.7834524514629668,-0.3952816354509779,-0.5705845846176824,-0.10728393324853354,-1.7350970326536501,1.2826180208589117,0.7692308125849912,0.8944472048469227,0.7817524518111841,-1.3218829381892743,-2.173354405570413,0.431146553477774,0.3685383573468082,-0.06971901556995361,-1.1966665459273427,0.5814062241920926,-0.08224065479614766,1.3827911346684576,1.3201829385374917,0.6189711418706725,1.3953127738946516,-0.8210173691415468
2016-10-31,1.629635543823318,-1.0370511788872696,-0.022959044898736406,-1.2749246424154446,-0.18571457257590826,0.7908185934871241,0.3275913224059421,-0.9744528990114342,0.4778271941079471,-0.9619332430362674,-0.03547870087390322,0.7657792815367904,1.107387037430632,0.704373349849066,-1.2123263625396081,0.6030237538596175,1.103809992866301,0.5404254739837824,-0.3109111323275787,0.8909758412884607,-1.8883877851986304,-1.1872870505892745,0.05215889095226668,-2.2764971204288105,-1.8758681292234636,0.0020802670515983274,1.103809992866301,0.6781416897106206,-0.2232735405014087,-1.0245315229121028,0.4903468500831139,0.8283775614126256,-1.7506715694717931,-0.6614614996322572,-0.6865008115825908,0.08971785887776822,0.3651502903314436,-0.5863435637812542,0.3275913224059421,0.640582721785119,-1.7005929455711248,-0.7115401235329256,1.642155199798485,-0.29839147635241187,0.44026822618244554,0.13979648277843662,1.1413689607918025,-0.12311629270007203,-0.21075388452624189,1.2916048324938076,-1.1872870505892745,0.7782989375119572,-0.5738239078060873,-0.8367366832845959,0.1272768268032687,0.6656220337354538,0.640582721785119,1.166408272742136,0.44026822618244554,0.6030237538596175,0.6280630658099522,0.9660937771394628,1.7798714155253244,-0.4235880361040822,-2.451772304081149,-0.46114700402958375,-0.4110683801289154,-1.8758681292234636,1.0036527450649644,1.3792424243199763,0.8659365293381271,-0.5863435637812542,-0.7866580593839275,-0.3985487241537486,-0.5738239078060873,0.20239476265427178,-1.7381519134966252,1.2790851765186397,0.7657792815367904,0.8909758412884607,0.7782989375119572,-1.3250032663161118,-2.176339872627474,0.42774857020727874,0.3651502903314436,-0.07303766879940367,-1.1998067065644413,0.5779844419092839,-0.08555732477457159,1.3792424243199763,1.3166441444441412,0.6155434098347854,1.3917620802951443,-0.824217027309429
