time,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MA,MCD,MMM,MRK,MSFT,NKE,PG,T,TRV,UNH,WBA,WMT
2016-01-03 00:00:00+00:00,,,1.8299452534262305e-12,,1.6444492995884135e-10,0.01990596358168358,7.395623332489313e-13,1.4910632550402394e-13,7.262702830161164e-10,7.183524346147972e-14,4.0722561552146734e-14,1.0023362736486323e-12,,,5.9079940438547e-10,,,3.779378647653222e-06,,6.37231878782731e-13,2.3142442236238248e-12,6.098661480332716e-08,,,,1.0449229824600994e-07,1.0496333964216433e-07,,9.727934263542787e-14,
2016-01-10 00:00:00+00:00,,0.05129232505182848,1.6926819296362702e-08,0.03760440195879006,2.484909659215938e-11,0.015903823819366267,0.03841097030025102,3.879909547789836e-09,1.2341786139107559e-06,0.11112068025906607,1.593778955692462e-10,2.8113072696495964e-06,2.6799780801690965e-13,4.211509650489368e-09,2.113193515407366e-07,0.02564158194740406,3.2232799454999534e-05,,5.931740020458138e-13,1.126200926540857e-08,3.8555584938571246e-11,0.02570304742489107,7.510476098681037e-10,6.020380795184711e-11,3.5875849018300077e-09,0.000629969848524383,0.048483613963571634,2.285490773196004e-12,3.910885748193755e-09,1.8700660214121281e-13
2016-01-17 00:00:00+00:00,,0.06715046553879685,8.788880371963098e-13,1.3919728245950357e-09,4.631021627469012e-13,1.4481608905140984e-05,0.03710144506589185,8.881174309611825e-08,1.4871631233693194e-06,0.12131040902705366,1.3104405234683439e-05,8.360297024538102e-13,3.3659811352003164e-06,5.542592660979126e-10,5.015626428516855e-10,4.8077392954033436e-11,3.9197480141096094e-07,5.747375143438463e-10,3.8343677819564286e-10,1.4535934756141577e-13,0.05552519964234018,1.2417098881350196e-10,5.864876937193659e-07,0.002197446561113841,1.5476323267462876e-13,8.136285231416313e-11,2.2484159197096023e-12,,2.209473988622553e-09,0.1765941887109644
2016-01-24 00:00:00+00:00,,5.4370064405426236e-12,9.632874970164163e-11,5.006218300777987e-06,5.137095084276419e-08,0.0017280968760855827,4.120717811032126e-08,1.723623146267853e-05,2.7305596153790007e-09,0.06247627745729652,1.1456091888098291e-05,0.21075961910814675,1.2277733187340087e-11,1.9944044602891212e-08,1.438255188740696e-05,5.614259830341676e-10,0.00022477958454298098,0.0344866707333114,1.0011585857845535e-06,1.7957898476596725e-08,0.1472918357001165,1.2208028713793786e-08,1.4619258609352752e-10,,4.252347222365498e-14,1.7514577795001871e-10,0.03975368590511455,2.7397078084423715e-13,1.3690978978757213e-10,0.002338193536361367
2016-01-31 00:00:00+00:00,,3.6850126999490996e-11,4.059742319435841e-11,4.903896065498119e-12,2.788852258289754e-05,0.009467219325755217,2.9408684552536175e-09,0.03999772297483335,7.85701299399869e-08,0.00711138350984237,0.024711790422789526,2.8372083523070583e-05,2.245864493516233e-12,6.771096922332441e-11,0.025310392198259316,1.0351849192497662e-10,6.047108243222601e-07,1.2762765243455035e-12,1.2791952806108647e-13,7.980155505537522e-11,5.923503135336828e-08,2.046125797736575e-08,0.0007324458391402597,,1.540560577418678e-11,6.365951974144376e-09,0.00014708603288081815,,0.046787815055777775,5.3461595708823335e-08
2016-02-07 00:00:00+00:00,,3.564934117752159e-08,4.821650377928348e-10,3.024671624624126e-11,3.8894277332730225e-06,2.9759851978942337e-07,0.0007013540413431066,0.0009666177649158114,2.027321848006027e-06,0.0426008888935607,0.08137944079839773,1.5729285513404644e-09,5.4306822596812484e-11,1.1801557116425637e-07,0.025369447084580818,2.3525818346134494e-11,2.032958053806232e-06,1.8807417228893245e-07,5.179423690419e-13,0.0002644646629679398,0.0660858115426701,1.9499538393145216e-09,0.03529900615627841,,0.12728709754858653,0.029044443912554244,1.1477964687336312e-05,,8.362388854670778e-09,0.03845928092610291
2016-02-14 00:00:00+00:00,,2.7206046831980284e-10,0.0070605363964415845,0.14315919876411118,0.03323664065550758,5.86572636852022e-05,5.7863787095355326e-09,0.08698091235597435,0.03225600137381826,0.045098784608490455,0.0008664527356017749,6.199978369510898e-11,1.0110269587334056e-10,1.1509591456320469e-11,0.009856596876865645,0.00012437391116572262,2.9363590125695783e-10,0.0008482832156057077,5.654737768611069e-05,8.621362223293018e-06,0.031467048402384734,6.243040057802506e-12,5.2473211573325026e-05,6.091156017729793e-13,7.927439905605795e-14,0.021600215124506716,0.03221973215988986,9.82342246897113e-12,4.461714449219544e-12,0.01920214659560633
2016-02-21 00:00:00+00:00,,5.467906559794319e-08,0.01214763856976232,2.506825304289247e-11,0.0012331385979146461,0.019983111637565765,3.9208888829355746e-05,0.024195974825490844,0.001038790574874569,4.8596067941615375e-06,7.376638621917894e-08,8.666122308237185e-11,6.422137462670422e-07,1.6434790421759796e-10,9.502871120934698e-10,0.0021441694915930996,2.754871933657377e-07,4.8276882643198154e-11,4.294016289098805e-05,0.008036848495559653,0.03571064590864654,5.37112709002166e-05,4.018538673312928e-05,7.313921000168197e-07,1.395247644738201e-13,1.2208757391472281e-09,0.03846168761214,7.21078078847555e-11,9.96533113963735e-09,2.0262310992446235e-10
2016-02-28 00:00:00+00:00,,1.855971256141121e-11,7.744721630126086e-05,1.7293991443126798e-09,0.10997851505280455,1.1726611090725589e-07,0.019646056774287875,0.13337040501560737,3.650235114195182e-07,0.12846386355681172,0.04853437417738331,0.019827421319571454,6.000568856762865e-12,0.0014450286651976226,0.0003259719622509641,1.3432705066752244e-05,1.9281115308731002e-10,1.4141559044350448e-13,6.7103837010381345e-06,0.00455982953430811,9.310243320748187e-06,4.219784043750809e-11,7.203275978390307e-07,,2.0480474875731945e-10,4.552988883784826e-08,0.01635003733982187,1.0762868990713123e-12,0.03502796063215436,2.0768102761039447e-06
2016-03-06 00:00:00+00:00,,0.0002642883206029022,1.2185576945025192e-07,0.00011348450061164662,0.03263744298867866,0.015510293210223498,1.367645983818938e-06,1.7559790565841743e-09,0.00040877592276234565,0.09084556862036011,1.3101798640675791e-10,1.1866947989006867e-11,0.08000331567672238,6.017950680930175e-07,0.011463886147972446,0.04706970935780288,0.06663717926797719,2.4706426388706112e-05,0.14905999196038136,3.8257767538221526e-10,0.025491482428614515,2.1875216420534057e-09,1.0231826154152653e-09,,3.9012109332049186e-11,1.6197820326838557e-10,0.0525956216604957,9.801409576102348e-13,2.0137223130641223e-11,7.442900518875966e-07
